,Fare,binary,binary_value
851,7.775,111110001100011,7.77344
852,15.2458,000011110101000,15.25
853,39.4,010011101100111,39.375
854,26.0,000001101001010,26
855,9.35,100101011000100,9.34375
856,164.8667,101001001101000,164.75
857,26.55,011010100100110,26.5625
858,19.2583,010011010000110,19.25
859,7.2292,111001110100011,7.22656
860,14.1083,111000011100100,14.1094
861,11.5,101110000000100,11.5
862,25.9292,110011111000101,25.9375
863,69.55,001000101101001,69.5
864,13.0,011010000000101,13
865,13.0,011010000000101,13
866,13.8583,110111011100100,13.8594
867,50.4958,110010100000110,50.5
868,9.5,000100110000111,9.5
869,11.1333,101100100100100,11.1406
870,7.8958,111111001100011,7.89844
871,52.5542,110100100100110,52.5625
872,5.0,000010100000111,5
873,9.0,010010000000101,9
874,24.0,110000000000101,24
875,7.225,111001110100011,7.22656
876,9.8458,100111011000100,9.84375
877,7.8958,111111001100011,7.89844
878,7.8958,111111001100011,7.89844
879,83.1583,101001100100111,83.125
880,26.0,000001101001010,26
881,7.8958,111111001100011,7.89844
882,10.5167,101010000100100,10.5156
883,10.5,001010100000110,10.5
884,7.05,111000011000011,7.04688
885,29.125,111010010000101,29.125
886,13.0,011010000000101,13
887,30.0,000111100001000,30
888,23.45,010111011100110,23.4375
889,30.0,000111100001000,30
890,7.75,000001111101000,7.75
